item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
MET:307682,MET,https://images.metmuseum.org/CRDImages/ao/original/DP170923.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307683,MET,https://images.metmuseum.org/CRDImages/ao/original/33.149.76-94.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307806,MET,https://images.metmuseum.org/CRDImages/ao/original/vs09_50_1085.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307836,MET,https://images.metmuseum.org/CRDImages/ao/original/DP101287.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307841,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18589.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307842,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18689.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307843,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18590.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307844,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18605.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307846,MET,https://images.metmuseum.org/CRDImages/ao/original/88392.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307851,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18456.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307852,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18481.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307853,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18565.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307933,MET,https://images.metmuseum.org/CRDImages/ao/original/LC-28_64_27_TMSa.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307940,MET,https://images.metmuseum.org/CRDImages/ao/original/72153.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
