baseline_version,run_index,generator_seed,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,56,20260770,strict_culture_universe,157,0.3398278223633905,0.1464968152866242,0.005192429620597657,0.1464968152866242,0.17452229299363056,0.0288167768272448,0.16899255765546678,0.17643312101910827,0.05879886131864584,0.17307542768826906
random_multiseed_baseline_v1,57,20260771,strict_culture_universe,157,0.36295298146061766,0.17834394904458598,0.006624489938899282,0.17834394904458598,0.1668789808917197,0.030130054973675033,0.17057821195709846,0.1643312101910828,0.05823604803114349,0.16875664084157443
random_multiseed_baseline_v1,58,20260772,strict_culture_universe,157,0.3705798426488341,0.18471337579617833,0.010360414167220408,0.18471337579617833,0.1910828025477707,0.036009144220061795,0.19084186374720633,0.17579617834394906,0.06406255915446805,0.18179569482353258
random_multiseed_baseline_v1,59,20260773,strict_culture_universe,157,0.3361051078741332,0.1592356687898089,0.00653087629334785,0.1592356687898089,0.1681528662420382,0.030120372679132243,0.16745574942732538,0.1770700636942675,0.06474710825762649,0.17572646567498085
random_multiseed_baseline_v1,60,20260774,strict_culture_universe,157,0.3396196499559383,0.1464968152866242,0.004841897921200483,0.1464968152866242,0.16050955414012738,0.026486852314329495,0.16078954473686227,0.1834394904458599,0.06162751103237628,0.17791214702712935
random_multiseed_baseline_v1,61,20260775,strict_culture_universe,157,0.3808098134054828,0.1910828025477707,0.007350678348083058,0.1910828025477707,0.17834394904458598,0.034717988484814465,0.18304704792323281,0.1834394904458599,0.06877160837925352,0.1877577957934568
random_multiseed_baseline_v1,62,20260776,strict_culture_universe,157,0.36023221061866945,0.18471337579617833,0.0060157782236710125,0.18471337579617833,0.18216560509554142,0.029307750752934385,0.18172126529887714,0.17452229299363062,0.05973529694618255,0.17760670698713732
random_multiseed_baseline_v1,63,20260777,strict_culture_universe,157,0.32770647782249096,0.12101910828025478,0.003984759198071026,0.12101910828025478,0.1732484076433121,0.03303729445794164,0.16488389607351248,0.17898089171974527,0.06329375233082203,0.17309600362423908
random_multiseed_baseline_v1,64,20260778,strict_culture_universe,157,0.37804583859707597,0.19745222929936307,0.006563181432274634,0.19745222929936307,0.17579617834394906,0.031493914949854415,0.1785433795175545,0.17961783439490442,0.06382316714164304,0.18257912927463243
random_multiseed_baseline_v1,65,20260779,strict_culture_universe,157,0.3243569597525085,0.12738853503184713,0.00491304102812478,0.12738853503184713,0.17579617834394906,0.030290264311410443,0.16519540958283038,0.18471337579617833,0.06283387597698704,0.1766168215421035
random_multiseed_baseline_v1,66,20260780,strict_culture_universe,157,0.3733340017229231,0.17197452229299362,0.006695763593615168,0.17197452229299362,0.18853503184713374,0.03366609965409187,0.18705288350534405,0.18598726114649683,0.06680831102053995,0.18836753395472283
random_multiseed_baseline_v1,67,20260781,strict_culture_universe,157,0.34577770182454726,0.17197452229299362,0.005431321200221583,0.17197452229299362,0.18726114649681527,0.02993685512110701,0.1824917896840575,0.18025477707006374,0.05947809059929705,0.1800091661337771
random_multiseed_baseline_v1,68,20260782,strict_culture_universe,157,0.33964462978947824,0.15286624203821655,0.007752743788209707,0.15286624203821655,0.16305732484076435,0.02811361378480241,0.16207294996999938,0.17515923566878985,0.06700646624969703,0.17391988645983483
random_multiseed_baseline_v1,69,20260783,strict_culture_universe,157,0.3180570421254984,0.12101910828025478,0.005032318193705943,0.12101910828025478,0.16687898089171976,0.029587378683025176,0.15809387333123756,0.16560509554140126,0.06677691971615428,0.16461307760193722
random_multiseed_baseline_v1,70,20260784,strict_culture_universe,157,0.3542374681823643,0.17834394904458598,0.005968220751093664,0.17834394904458598,0.16178343949044585,0.03554717366207009,0.16331560076517473,0.16942675159235673,0.07079409284297843,0.17367611781678458
random_multiseed_baseline_v1,71,20260785,strict_culture_universe,157,0.36750416367779914,0.17197452229299362,0.005430537913472053,0.17197452229299362,0.17197452229299362,0.03027514796504278,0.17372665893662453,0.16687898089171974,0.05909624918788395,0.1702695890131451
random_multiseed_baseline_v1,72,20260786,strict_culture_universe,157,0.3077975451728046,0.10828025477707007,0.003303381318349928,0.10828025477707007,0.1592356687898089,0.027778579196165033,0.14965652146671526,0.16496815286624203,0.0601558566567842,0.15921808080517888
random_multiseed_baseline_v1,73,20260787,strict_culture_universe,157,0.35246215773374334,0.1592356687898089,0.008290442944305266,0.1592356687898089,0.1643312101910828,0.03292685102625794,0.16529902028069476,0.17197452229299368,0.06666184727736053,0.17414762488745397
random_multiseed_baseline_v1,74,20260788,strict_culture_universe,157,0.35795943118178686,0.17197452229299362,0.005991637761209812,0.17197452229299362,0.18089171974522292,0.029376962840441445,0.17961224835926218,0.1872611464968153,0.06665742497092048,0.18595074718051877
random_multiseed_baseline_v1,75,20260789,strict_culture_universe,157,0.3271112685949048,0.1337579617834395,0.004959613952773901,0.1337579617834395,0.17070063694267515,0.02914893936446724,0.16362642917578712,0.17133757961783438,0.06175486040307066,0.16821179881538176
random_multiseed_baseline_v1,76,20260790,strict_culture_universe,157,0.3558507648940012,0.17834394904458598,0.007994719559409908,0.17834394904458598,0.18089171974522292,0.03756545883849889,0.17837338638791148,0.1859872611464968,0.0726905551718901,0.1865222455276395
random_multiseed_baseline_v1,77,20260791,strict_culture_universe,157,0.4044485114484156,0.2356687898089172,0.0077441602709127765,0.2356687898089172,0.17834394904458598,0.03507234958609823,0.18901989538759867,0.1802547770700637,0.06836482146066443,0.18901041702472046
random_multiseed_baseline_v1,78,20260792,strict_culture_universe,157,0.33831618354010046,0.14012738853503184,0.004654654311623671,0.14012738853503184,0.18471337579617833,0.032708439131439435,0.17679554131021435,0.18407643312101915,0.0681740421817321,0.18182791134188175
random_multiseed_baseline_v1,79,20260793,strict_culture_universe,157,0.41201899263726327,0.2229299363057325,0.006965078248170482,0.2229299363057325,0.18853503184713374,0.033407489918446796,0.19546615190955094,0.17324840764331212,0.06502926555117931,0.18494133585076752
random_multiseed_baseline_v1,80,20260794,strict_culture_universe,157,0.35734843168282243,0.1910828025477707,0.005718700405437924,0.1910828025477707,0.16560509554140126,0.027807892614867914,0.16988836260170287,0.17707006369426753,0.05817729064594613,0.1767191693127738
random_multiseed_baseline_v1,81,20260795,strict_culture_universe,157,0.386936735157578,0.21019108280254778,0.007126527789925976,0.21019108280254778,0.17324840764331212,0.031302880014830226,0.18239834828859358,0.18089171974522297,0.06006999972584964,0.18499793821375102
random_multiseed_baseline_v1,82,20260796,strict_culture_universe,157,0.39088009526340917,0.18471337579617833,0.005638190494467167,0.18471337579617833,0.21528662420382164,0.03913987064454491,0.21077460715018656,0.18980891719745224,0.06707320880814653,0.1956467895126576
