configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub
text_fused_alpha_0.50,15,CMA:134395,CMA,3,0,3,0.0139534883721,True
text_fused_alpha_0.50,16,CMA:152334,CMA,3,0,3,0.0139534883721,True
text_fused_alpha_0.50,17,MET:308058,MET,3,0,3,0.0139534883721,True
text_fused_alpha_0.50,18,MET:315786,MET,3,0,3,0.0139534883721,True
text_fused_alpha_0.50,19,CMA:302272,CMA,2,0,2,0.0093023255814,False
text_fused_alpha_0.50,20,MET:307961,MET,2,0,2,0.0093023255814,False
text_fused_alpha_0.50,21,MET:308028,MET,2,0,2,0.0093023255814,False
text_fused_alpha_0.50,22,MET:315690,MET,2,0,2,0.0093023255814,False
text_fused_alpha_0.50,23,MET:675980,MET,2,0,2,0.0093023255814,False
text_fused_alpha_0.50,24,CMA:169189,CMA,2,1,1,0.0093023255814,False
text_fused_alpha_0.50,25,CMA:108043,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,26,CMA:119690,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,27,CMA:124740,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,28,CMA:134765,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,29,CMA:152258,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,30,CMA:160691,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,31,CMA:163724,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,32,CMA:164429,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,33,CMA:164430,CMA,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,34,MET:307944,MET,1,0,1,0.0046511627907,False
text_fused_alpha_0.50,35,MET:308035,MET,1,0,1,0.0046511627907,False
